source,episode,t_env,mode,completion_rate,on_time_rate,avg_delay,total_completed
backend_wx,31,25200,test,0.7419354838709677,0.8695652173913043,6.695652173913044,23
backend_wx,32,25200,test,0.68,0.29411764705882354,63.76470588235294,17
backend_wx,33,25200,test,0.7647058823529411,0.8461538461538461,6.3076923076923075,26
backend_wx,34,25200,train,0.6923076923076923,0.6111111111111112,95.77777777777777,18
backend_wx,35,26400,train,0.6923076923076923,0.5,119.88888888888889,18
backend_wx,36,27600,train,0.75,0.7083333333333334,90.45833333333333,24
backend_wx,37,28800,train,0.7333333333333333,0.6818181818181818,73.4090909090909,22
backend_wx,38,30000,train,0.7419354838709677,0.6086956521739131,60.73913043478261,23
backend_wx,39,31200,train,0.7333333333333333,0.6363636363636364,49.77272727272727,22
backend_wx,40,32400,train,0.6923076923076923,0.5,110.16666666666667,18
backend_wx,41,33600,train,0.7037037037037037,0.7368421052631579,64.52631578947368,19
backend_wx,42,34800,train,0.7037037037037037,0.5789473684210527,103.52631578947368,19
backend_wx,43,36000,train,0.7241379310344828,0.5714285714285714,64.80952380952381,21
backend_wx,44,37200,test,0.68,0.6470588235294118,34.23529411764706,17
backend_wx,45,37200,test,0.7142857142857143,0.75,16.1,20
backend_wx,46,37200,test,0.7037037037037037,0.7368421052631579,14.368421052631579,19
backend_wx,47,37200,test,0.6923076923076923,0.5555555555555556,41.666666666666664,18
backend_wx,48,37200,train,0.68,0.5294117647058824,111.11764705882354,17
backend_wx,49,38400,train,0.7333333333333333,0.7272727272727273,67.13636363636364,22
backend_wx,50,39600,train,0.7241379310344828,0.6190476190476191,67.80952380952381,21
backend_wx,51,40800,train,0.7037037037037037,0.631578947368421,84.6842105263158,19
backend_wx,52,42000,train,0.7333333333333333,0.7272727272727273,63.54545454545455,22
backend_wx,53,43200,train,0.7333333333333333,0.8181818181818182,53.54545454545455,22
backend_wx,54,44400,train,0.7037037037037037,0.5263157894736842,67.78947368421052,19
backend_wx,55,45600,train,0.7037037037037037,0.7894736842105263,13.210526315789474,19
backend_wx,56,46800,train,0.7333333333333333,0.5909090909090909,63.54545454545455,22
backend_wx,57,48000,train,0.7419354838709677,0.782608695652174,15.217391304347826,23
backend_wx,58,49200,test,0.7037037037037037,0.6842105263157895,30.894736842105264,19
backend_wx,59,49200,test,0.7037037037037037,0.7368421052631579,20.42105263157895,19
backend_wx,60,49200,test,0.7333333333333333,0.9545454545454546,17.0,22
backend_wx,61,49200,test,0.7037037037037037,0.631578947368421,35.421052631578945,19
backend_wx,62,49200,train,0.68,0.6470588235294118,90.58823529411765,17
backend_wx,63,50400,train,0.7777777777777778,0.8571428571428571,7.0,28
backend_wx,64,51600,train,0.7241379310344828,0.8095238095238095,66.52380952380952,21
backend_wx,65,52800,train,0.7333333333333333,0.7272727272727273,45.40909090909091,22
backend_wx,66,54000,train,0.7333333333333333,0.6363636363636364,90.13636363636364,22
backend_wx,67,55200,train,0.7241379310344828,0.6666666666666666,74.33333333333333,21
backend_wx,68,56400,train,0.7037037037037037,0.7368421052631579,85.10526315789474,19
backend_wx,69,57600,train,0.75,0.875,25.666666666666668,24
backend_wx,70,58800,train,0.6666666666666666,0.5625,46.9375,16
backend_wx,71,60000,train,0.7142857142857143,0.55,111.3,20
backend_wx,72,61200,test,0.7142857142857143,0.55,25.5,20
backend_wx,73,61200,test,0.6923076923076923,0.7222222222222222,29.27777777777778,18
backend_wx,74,61200,test,0.7333333333333333,0.8181818181818182,13.318181818181818,22
backend_wx,75,61200,test,0.7333333333333333,0.8181818181818182,9.545454545454545,22
backend_wx,76,61200,train,0.7333333333333333,0.7727272727272727,72.22727272727273,22
backend_wx,77,62400,train,0.7333333333333333,0.6818181818181818,31.363636363636363,22
backend_wx,78,63600,train,0.7333333333333333,0.7727272727272727,77.0909090909091,22
backend_wx,79,64800,train,0.6923076923076923,0.6666666666666666,44.166666666666664,18
backend_wx,80,66000,train,0.6923076923076923,0.7222222222222222,51.5,18
backend_wx,81,67200,train,0.7241379310344828,0.8571428571428571,3.6666666666666665,21
