时间步,模式,总步数,完成任务数,生成任务数,完成率,从生成到分配等待时间,从分配到实际装载上机等待时间,从上机到送达平均时间,从生成到完成总时间平均,从生成到完成总时间最大,超时率,平均时延,优先级1平均时延,优先级2平均时延,优先级3平均时延,总能量消耗
15258,train,2000,58,60,0.9666666666666667,78.25862068965517,55.224137931034484,99.1896551724138,232.67241379310346,502.0,0.3620689655172413,35.53448275862069,40.666666666666664,28.25,37.142857142857146,98164.65742160853
17258,train,925,60,60,1.0,62.95,67.88333333333334,112.01666666666667,242.85,507.0,0.44999999999999996,43.016666666666666,35.54545454545455,53.57142857142857,32.857142857142854,98286.54672208376
18183,train,835,60,60,1.0,57.93333333333333,57.9,89.93333333333334,205.76666666666668,473.0,0.19999999999999996,18.283333333333335,21.857142857142858,8.380952380952381,25.666666666666668,93053.72222870543
19018,train,931,60,60,1.0,41.766666666666666,70.45,103.38333333333334,215.6,407.0,0.35,24.55,24.842105263157894,24.3,24.523809523809526,100918.63499776818
19949,train,896,60,60,1.0,53.68333333333333,58.78333333333333,95.75,208.21666666666667,486.0,0.2666666666666667,31.15,33.42857142857143,31.227272727272727,29.75,92435.55935722268
20845,train,2000,58,60,0.9666666666666667,91.01724137931035,67.53448275862068,121.74137931034483,280.2931034482759,603.0,0.5344827586206897,51.706896551724135,38.44444444444444,64.5,50.85,110794.14911217956
22845,test,949,60,60,1.0,60.5,61.516666666666666,104.65,226.66666666666666,541.0,0.2833333333333333,33.65,37.0,15.764705882352942,45.421052631578945,100168.24676456294
22845,train,915,60,60,1.0,81.95,56.28333333333333,105.58333333333333,243.81666666666666,681.0,0.3666666666666667,35.63333333333333,40.733333333333334,49.23809523809524,20.541666666666668,96121.42632552073
23760,train,886,60,60,1.0,64.95,60.53333333333333,102.3,227.78333333333333,556.0,0.35,33.016666666666666,29.142857142857142,39.0,31.870967741935484,91965.49623091429
24646,train,2000,59,60,0.9833333333333333,73.0677966101695,62.0,102.54237288135593,237.61016949152543,510.0,0.44067796610169496,34.779661016949156,14.588235294117647,45.266666666666666,41.666666666666664,101466.53874112549
26646,train,2000,59,60,0.9833333333333333,86.32203389830508,51.220338983050844,104.83050847457628,242.3728813559322,654.0,0.38983050847457623,41.813559322033896,40.708333333333336,53.588235294117645,32.166666666666664,99130.37772238342
28646,train,946,60,60,1.0,57.1,64.23333333333333,105.53333333333333,226.86666666666667,600.0,0.35,32.6,31.263157894736842,34.26315789473684,32.31818181818182,99980.11836623664
29592,train,2000,59,60,0.9833333333333333,142.57627118644066,51.83050847457627,117.55932203389831,311.96610169491527,862.0,0.6440677966101696,85.38983050847457,42.94117647058823,119.88235294117646,90.8,110500.92661414362
31592,train,876,60,60,1.0,37.75,54.55,98.26666666666667,190.56666666666666,435.0,0.30000000000000004,19.183333333333334,25.789473684210527,12.38888888888889,19.043478260869566,93859.47448498961
32468,train,2000,59,60,0.9833333333333333,126.35593220338983,68.94915254237289,94.08474576271186,289.3898305084746,664.0,0.5423728813559322,69.8135593220339,80.28571428571429,63.76190476190476,69.0,107991.691948508
34468,test,971,60,60,1.0,78.03333333333333,64.83333333333333,92.93333333333334,235.8,830.0,0.30000000000000004,42.416666666666664,37.111111111111114,52.22222222222222,39.041666666666664,99957.54486515165
34468,train,920,60,60,1.0,64.33333333333333,53.733333333333334,91.73333333333333,209.8,465.0,0.30000000000000004,28.35,23.04,47.22222222222222,16.176470588235293,90195.88843254675
35388,train,974,60,60,1.0,105.6,57.65,98.93333333333334,262.18333333333334,576.0,0.5333333333333333,46.333333333333336,47.8,58.69230769230769,37.36363636363637,102332.66742002762
36362,train,985,60,60,1.0,57.95,70.75,93.81666666666666,222.51666666666668,730.0,0.30000000000000004,28.816666666666666,25.8,40.81818181818182,19.304347826086957,100583.0495951028
37347,train,944,60,60,1.0,78.11666666666666,55.7,112.05,245.86666666666667,642.0,0.4,45.06666666666667,30.42105263157895,38.8,59.38461538461539,97940.05175588513
38291,train,2000,59,60,0.9833333333333333,69.05084745762711,66.47457627118644,117.83050847457628,253.35593220338984,563.0,0.4067796610169492,50.101694915254235,22.0,72.85714285714286,50.095238095238095,104909.45323621525
40291,train,2000,59,60,0.9833333333333333,72.67796610169492,77.59322033898304,115.86440677966101,266.135593220339,627.0,0.5254237288135593,53.440677966101696,37.84615384615385,60.75,54.68181818181818,106753.44470318791
42291,train,809,60,60,1.0,49.18333333333333,48.983333333333334,94.95,193.11666666666667,419.0,0.25,15.666666666666666,19.941176470588236,10.952380952380953,16.863636363636363,90093.01381373018
43100,train,904,60,60,1.0,61.96666666666667,56.8,89.68333333333334,208.45,629.0,0.23333333333333328,22.9,9.26086956521739,57.588235294117645,9.1,92092.83155022429
44004,train,832,60,60,1.0,63.016666666666666,46.86666666666667,83.3,193.18333333333334,556.0,0.21666666666666667,16.383333333333333,4.625,16.333333333333332,32.111111111111114,86240.79635229464
44836,test,929,60,60,1.0,103.26666666666667,64.46666666666667,99.3,267.03333333333336,914.0,0.43333333333333335,50.96666666666667,82.67857142857143,26.705882352941178,19.266666666666666,101092.37892868012
44836,train,885,60,60,1.0,48.4,52.86666666666667,89.25,190.51666666666668,496.0,0.23333333333333328,17.116666666666667,18.40909090909091,20.454545454545453,10.75,89847.90883518229
45721,train,910,60,60,1.0,62.916666666666664,67.16666666666667,100.0,230.08333333333334,672.0,0.2833333333333333,35.15,53.608695652173914,27.8,18.823529411764707,98783.30128978299
46631,train,1024,60,60,1.0,88.11666666666666,52.483333333333334,106.78333333333333,247.38333333333333,730.0,0.4666666666666667,40.81666666666667,43.44444444444444,35.72222222222222,42.2,100048.06765302877
47655,train,951,60,60,1.0,82.68333333333334,59.38333333333333,98.95,241.01666666666668,636.0,0.3833333333333333,43.833333333333336,28.181818181818183,70.63157894736842,35.1578947368421,96998.71359731004
48606,train,858,60,60,1.0,61.56666666666667,58.93333333333333,84.96666666666667,205.46666666666667,517.0,0.25,18.666666666666668,17.608695652173914,20.285714285714285,18.0625,90820.39328731733
49464,train,902,60,60,1.0,72.36666666666666,59.666666666666664,101.18333333333334,233.21666666666667,801.0,0.3666666666666667,39.38333333333333,77.26666666666667,28.954545454545453,24.652173913043477,96928.80968461695
50366,train,960,60,60,1.0,65.85,52.016666666666666,110.55,228.41666666666666,829.0,0.3666666666666667,35.25,31.72,38.77777777777778,36.705882352941174,96532.58810166115
51326,train,921,60,60,1.0,94.18333333333334,67.1,90.58333333333333,251.86666666666667,680.0,0.41666666666666663,45.233333333333334,22.923076923076923,59.73076923076923,41.095238095238095,95695.74267638537
52247,train,953,60,60,1.0,58.38333333333333,62.6,97.71666666666667,218.7,452.0,0.33333333333333337,34.85,12.117647058823529,51.526315789473685,37.75,97734.7264101901
53200,train,2000,59,60,0.9833333333333333,152.1864406779661,69.49152542372882,103.15254237288136,324.8305084745763,712.0,0.711864406779661,90.11864406779661,97.6875,103.11538461538461,63.11764705882353,110322.66821947487
55200,test,2000,59,60,0.9833333333333333,105.05084745762711,58.91525423728814,105.0677966101695,269.03389830508473,882.0,0.5084745762711864,49.40677966101695,61.3,60.869565217391305,18.0625,103702.50520738628
55200,train,883,60,60,1.0,60.53333333333333,65.86666666666666,89.63333333333334,216.03333333333333,629.0,0.2833333333333333,28.65,25.266666666666666,32.25,26.952380952380953,93465.11788587403
