source,episode,t_env,mode,episode_step,completion_rate,on_time_rate,avg_delay,avg_wait_time_to_load,avg_delivery_time,avg_generation_to_completion_time,avg_generation_time,total_completed,total_generated,avg_steps_per_order,total_energy_consumed,max_delivery_time
backend_wx,18,28000,train,2000,0.9857142857142858,0.7101449275362319,27.942028985507246,151.07246376811594,144.17391304347825,295.2463768115942,6.086956521739131,69,70,144.17391304347825,114277.09763744962,292.0
backend_wx,19,30000,train,2000,0.9714285714285714,0.7058823529411765,21.426470588235293,134.2058823529412,139.6764705882353,273.88235294117646,6.072463768115942,68,70,139.6764705882353,108812.08626564265,358.0
backend_wx,20,32000,test,2000,0.8,0.8035714285714286,13.75,127.76785714285714,149.66071428571428,277.42857142857144,6.159420289855072,56,70,149.66071428571428,96879.48821360593,380.0
backend_wx,21,32000,train,2000,0.9428571428571428,0.6363636363636364,21.045454545454547,166.57575757575756,141.71212121212122,308.2878787878788,6.043478260869565,66,70,141.71212121212122,107165.71027127551,358.0
backend_wx,22,34000,train,2000,0.9,0.7301587301587301,24.19047619047619,154.3968253968254,149.22222222222223,303.6190476190476,6.130434782608695,63,70,149.22222222222223,108087.82692333621,295.0
backend_wx,23,36000,train,2000,0.8571428571428571,0.7166666666666667,30.15,149.6,156.96666666666667,306.56666666666666,6.115942028985507,60,70,156.96666666666667,108311.39298612977,359.0
backend_wx,24,38000,train,2000,0.7714285714285715,0.7962962962962963,19.166666666666668,139.27777777777777,153.53703703703704,292.81481481481484,6.101449275362318,54,70,153.53703703703704,95387.2274723611,358.0
backend_wx,25,40000,train,2000,0.9428571428571428,0.7424242424242424,17.227272727272727,138.6969696969697,141.03030303030303,279.72727272727275,6.188405797101449,66,70,141.03030303030303,106545.49232711225,273.0
backend_wx,26,42000,test,2000,0.8714285714285714,0.7868852459016393,12.19672131147541,96.62295081967213,139.85245901639345,236.47540983606558,6.144927536231884,61,70,139.85245901639345,98166.35964854222,282.0
backend_wx,27,42000,train,2000,0.7857142857142857,0.7454545454545455,25.618181818181817,120.65454545454546,154.61818181818182,275.27272727272725,6.130434782608695,55,70,154.61818181818182,97227.8073523712,303.0
backend_wx,28,44000,train,2000,0.8714285714285714,0.8032786885245902,16.737704918032787,105.21311475409836,139.34426229508196,244.55737704918033,6.115942028985507,61,70,139.34426229508196,97779.9843198658,272.0
backend_wx,29,46000,train,2000,0.8571428571428571,0.7833333333333333,22.533333333333335,116.65,146.71666666666667,263.3666666666667,6.202898550724638,60,70,146.71666666666667,101247.78240925126,270.0
backend_wx,30,48000,train,2000,0.8571428571428571,0.8333333333333334,13.983333333333333,101.31666666666666,142.05,243.36666666666667,6.188405797101449,60,70,142.05,97778.93679637209,269.0
backend_wx,31,50000,train,2000,0.7571428571428571,0.7735849056603774,21.867924528301888,120.73584905660377,158.9811320754717,279.7169811320755,6.173913043478261,53,70,158.9811320754717,97269.13531085225,261.0
backend_wx,32,52000,test,2000,0.8285714285714286,0.7413793103448276,27.46551724137931,130.89655172413794,155.18965517241378,286.08620689655174,6.159420289855072,58,70,155.18965517241378,103758.55922476454,289.0
